gameid,homeTeam,homeId,awayTeam,awayId,preShotsHome,preHitsHome,prePenaltiesHome,preShotsAway,preHitsAway,prePenaltiesAway,preShotsTotal,preHitsTotal,prePenaltiesTotal,fightTime,player1Id,player1Name,player2Id,player2Name,postShotsHome,postHitsHome,postPenaltiesHome,postShotsAway,postHitsAway,postPenaltiesAway,postShotsTotal,postHitsTotal,postPenaltiesTotal
2015020003,Calgary Flames,20,Vancouver Canucks,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:02,8475907.0,Micheal Ferland,8473432.0,Derek Dorsett,29.02,28.02,7.0,39.02,16.01,7.0,68.04,44.02,14.01
2015020003,Calgary Flames,20,Vancouver Canucks,23,45.19,45.19,15.06,22.59,15.06,7.53,67.78,60.25,22.59,08:02,8475650.0,Brandon Bollig,8471283.0,Brandon Prust,26.56,25.4,5.77,41.57,16.16,6.93,68.12,41.57,12.7
2015020004,Los Angeles Kings,26,San Jose Sharks,28,0.0,0.0,0.0,33.03,66.06,0.0,33.03,66.06,0.0,01:51,8475160.0,Kyle Clifford,8471371.0,Mike Brown,19.6,34.05,10.32,26.83,17.54,9.29,46.43,51.59,19.6
2015020004,Los Angeles Kings,26,San Jose Sharks,28,18.59,43.82,9.3,23.9,23.9,6.64,42.49,67.72,15.94,45:11,8476404.0,Andy Andreoff,8476624.0,Barclay Goodrow,20.25,0.0,12.15,36.45,4.05,16.2,56.69,4.05,28.35
2015020008,St. Louis Blues,19,Edmonton Oilers,22,25.05,20.49,6.83,29.6,18.22,6.83,54.65,38.71,13.66,26:21,8476441.0,Joel Edmundson,8473468.0,Eric Gryba,30.31,23.18,1.78,19.61,10.7,3.57,49.93,33.88,5.35
2015020020,Florida Panthers,13,Philadelphia Flyers,4,24.83,45.52,0.0,28.97,62.07,8.28,53.79,107.59,8.28,15:51,8473466.0,Ryan White,8465978.0,Shawn Thornton,23.1,27.18,9.51,42.13,31.26,8.15,65.23,58.44,17.67
2015020027,Colorado Avalanche,21,Dallas Stars,25,11.25,11.25,0.0,0.0,0.0,0.0,11.25,11.25,0.0,05:52,8474849.0,Antoine Roussel,8471657.0,Cody McLeod,23.28,17.73,6.65,33.25,6.65,5.54,56.53,24.38,12.19
2015020034,Buffalo Sabres,7,Columbus Blue Jackets,29,32.88,14.09,2.35,23.48,18.79,7.05,56.36,32.88,9.39,25:36,8471766.0,Jared Boll,8475235.0,Nicolas Deslauriers,26.16,10.47,5.23,20.93,15.7,6.98,47.09,26.16,12.21
2015020036,Anaheim Ducks,24,Vancouver Canucks,23,0.0,63.72,0.0,63.72,31.86,0.0,63.72,95.58,0.0,01:54,8471283.0,Brandon Prust,8470886.0,Clayton Stoner,22.28,18.44,2.3,17.67,21.51,1.54,39.95,39.95,3.84
2015020045,Los Angeles Kings,26,Vancouver Canucks,23,0.0,23.53,0.0,0.0,47.06,0.0,0.0,70.59,0.0,02:42,8476404.0,Andy Andreoff,8471283.0,Brandon Prust,15.71,25.13,4.19,24.08,20.94,4.19,39.79,46.07,8.38
